"fname","actions","text","category"
"Cleaned-WLH_Grid0_4_7_Dirs_1.txt","Any[2,4]","face the octagon carpet",""
"Cleaned-WLH_Grid0_4_7_Dirs_1.txt","Any[1,1,4]","move until you see red brick floor to your right",""
"Cleaned-WLH_Grid0_4_7_Dirs_1.txt","Any[2,1,1,3,1,1,4]","turn and walk down the red brick until you get to an alley with grey floor",""
"Cleaned-WLH_Grid0_4_7_Dirs_1.txt","Any[4]","you should be two alleys away from a lamp and then an easel beyond that",""
"Cleaned-WLH_Grid0_1_3_Dirs_1.txt","Any[2,4]","from one turn until you see a corner of blue carpet in a side alley",""
"Cleaned-WLH_Grid0_1_3_Dirs_1.txt","Any[1,4]","move there",""
"Cleaned-WLH_Grid0_1_3_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-WLH_Grid0_1_3_Dirs_1.txt","Any[1,1,4]","move to the second alley",""
"Cleaned-WLH_Grid0_1_3_Dirs_1.txt","Any[1,4]","you should see gray floor to your right and a chair in front of you",""
"Cleaned-KLS_Grid0_4_2_Dirs_1.txt","Any[2,1,1,1,4]","take the yellow path all the way to the end of the hall until you can only either go right or left",""
"Cleaned-KLS_Grid0_4_2_Dirs_1.txt","Any[4]","there will be black easel here",""
"Cleaned-EDA_Grid0_4_1_Dirs_1.txt","Any[2,4]","turn to face the green hallway",""
"Cleaned-EDA_Grid0_4_1_Dirs_1.txt","Any[1,1,4]","walk forward twice",""
"Cleaned-EDA_Grid0_4_1_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-EDA_Grid0_4_1_Dirs_1.txt","Any[4]","you should be facing the red hallway",""
"Cleaned-EDA_Grid0_4_1_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-WLH_Grid0_2_1_Dirs_1.txt","Any[2,4]","face the octagon carpet",""
"Cleaned-WLH_Grid0_2_1_Dirs_1.txt","Any[1,4]","move forward one alley to the wooden flooring",""
"Cleaned-WLH_Grid0_2_1_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-WLH_Grid0_2_1_Dirs_1.txt","Any[1,1,4]","walk along the wooden floor until you see red brick floor",""
"Cleaned-WLH_Grid0_2_1_Dirs_1.txt","Any[2,4]","at this intersection look for flowered carpet and an easel",""
"Cleaned-WLH_Grid0_2_1_Dirs_1.txt","Any[1,4]","move to the easel",""
