"word","tag"
"aisle","NN"
"travel","NN"
"1","CD"
"tiles","NNS"
"he","PRP"
"flooring","NN"
"closer","JJR"
"empty","JJ"
"regular","JJ"
"step","NN"
"p-3","JJ"
"many","JJ"
"that","IN"
"hat","NN"
"pink-flowered","JJ"
"whose","WP$"
"solid","JJ"
"sofa","NN"
"immediate","JJ"
"move","VB"
"an","DT"
"walk","NN"
"toward","IN"
"make","VB"
"dead","JJ"
"plain","NN"
"bench","NN"
"those","DT"
"floor","NN"
"contains","VBZ"
"ending","VBG"
"wooden-floored","JJ"
"piece","NN"
"wiht","NN"
"interesction","NN"
"there","EX"
"vacant","JJ"
"whe","NN"
"thing","NN"
"looking","VBG"
"florr","NN"
"and","CC"
"orient","NN"
"conataining","VBG"
"charred","JJ"
"contained","VBN"
"distance","NN"
"these","DT"
"roses","NNS"
"butterlfy","NN"
"wth","VBD"
"goin","NN"
"point","NN"
"either","DT"
"area","NN"
"after","IN"
"walled","VBD"
"possible","JJ"
"several","JJ"
"carpeting","NN"
"til","IN"
"red","JJ"
"opposite","JJ"
"they","PRP"
"find","VB"
"such","JJ"
"interesects","VBZ"
"upon","IN"
"but","CC"
"came","VBD"
"nothing","NN"
"very","RB"
"witht","IN"
"futon/bench","NN"
"standing","VBG"
"or","CC"
"tiems","NNS"
"choice","NN"
"visible","JJ"
"pnk","NN"
"if","IN"
"unti","NNS"
"first","JJ"
"locate","VB"
"expanse","NN"
"get","VBP"
"with","IN"
"be","VB"
"containing","VBG"
"single","JJ"
"where","WRB"
"alley","NN"
"although","IN"
"side","NN"
"four","CD"
"near","IN"
"onto","IN"
"interesection","NN"
"located","VBN"
"towad","IN"
"walls","NNS"
"so","RB"
"easel","NN"
"gray","JJ"
"sections","NNS"
"hallways","NNS"
"short","JJ"
"at","IN"
"stand","NN"
"patch","NN"
"a","DT"
"facing","VBG"
"red-bricked","JJ"
"walked","JJ"
"roack","NN"
"pictures;","NN"
"yellow","JJ"
"regardless","RB"
"hallwyas","NN"
"it","PRP"
"ahllways","NNS"
"'t's","VBZ"
"continuing","VBG"
"intersection;","JJ"
"key","JJ"
"the","DT"
"top","NN"
"black","JJ"
"farther","RB"
"intersects","VBZ"
"end","NN"
"pieaces","NNS"
"hanging","NN"
"only","RB"
"deadend","NN"
"hexagonally","RB"
"anopther","RB"
"room","NN"
"3","CD"
"conatains","VBZ"
"objects","NNS"
"click","NN"
"carpet","NN"
"corner","NN"
"passing","VBG"
"tward","IN"
"makes","VBZ"
"reached","VBN"
"reach","VBP"
"again","RB"
"branch","NN"
"square","NN"
"also","RB"
"foward","JJ"
"containg","VBG"
"perpendicular","JJ"
"against","IN"
"rt","NN"
"straight","RB"
"resume","VB"
"concrete","NN"
"normal","JJ"
"halls","NNS"
"put","VBD"
"buterfly","NN"
"1st","CD"
"eiffel","NN"
"util","IN"
"along","IN"
"keep","VB"
"pcitures","NNS"
"space","NN"
"covered","VBN"
"path","NN"
"by","IN"
"whne","VBP"
"farthest","JJS"
"intersect","VBP"
"have","VBP"
"pass","VB"
"well","RB"
"something","NN"
"juncture","NN"
"stool","NN"
"interection","NN"
"you","PRP"
"brick-floored","JJ"
"till","IN"
"chair","NN"
"alleys","NNS"
"do","VB"
"stay","NN"
"lovely","JJ"
"its","PRP$"
"two","CD"
"other","JJ"
"simply","RB"
"opening","NN"
"flooored","VBD"
"goi","VB"
"crosses","VBZ"
"left","VBD"
"steps","NNS"
"butterfly","NN"
"certain","JJ"
"not","RB"
"towars","VBZ"
"movement","NN"
"contain","VB"
"third","JJ"
"intersection","NN"
"over","IN"
"for","IN"
"butterflys","VB"
"immediately","RB"
"pics","NNS"
"ends","VBZ"
"tower","VB"
"olive","JJ"
"previous","JJ"
"ti","VBZ"
"p-7","NN"
"orange","JJ"
"id","NN"
"rack","NN"
"up","RP"
"until","IN"
"pictures","NNS"
"fish","NN"
"-floored","VBN"
"about","RB"
"start","NN"
"amek","VB"
"blocks","NNS"
"tilll","NN"
"lft","NN"
"enter","VBP"
"probably","RB"
"flower","NN"
"finding","VBG"
"section","NN"
"are","VBP"
"perspective","JJ"
"still","RB"
"now","RB"
"yellow-tiled","JJ"
"colored","JJ"
"halfway","RB"
"one","CD"
"epink","VBP"
"your","PRP$"
"road","NN"
