fname,id,actions,text,category
Cleaned-EDA_Grid0_1_2_Dirs_1.txt,858-1,"Any[2,4]",turn to face the long red hallway,TurnToX
Cleaned-EDA_Grid0_1_2_Dirs_1.txt,858-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_1_2_Dirs_1.txt,858-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_1_2_Dirs_1.txt,858-4,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_1_3_Dirs_1.txt,1416-1,"Any[2,4]",turn to face the long red hallway,TurnToX
Cleaned-EDA_Grid0_1_3_Dirs_1.txt,1416-2,"Any[1,1,1,4]",walk forward three tiems,Move
Cleaned-EDA_Grid0_1_3_Dirs_1.txt,1416-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_1_3_Dirs_1.txt,1416-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_1_4_Dirs_1.txt,1114-1,"Any[2,4]",turn to face the short red hallway,TurnToX
Cleaned-EDA_Grid0_1_4_Dirs_1.txt,1114-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_1_4_Dirs_1.txt,1114-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_1_4_Dirs_1.txt,1114-4,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_1_5_Dirs_1.txt,1143-1,"Any[2,4]",turn to face the pink hallway so that the painting easel is on your back left side,Orient
Cleaned-EDA_Grid0_1_5_Dirs_1.txt,1143-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_1_5_Dirs_1.txt,1143-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_1_5_Dirs_1.txt,1143-4,Any[4],you should be facing the blue hallway,Describe
Cleaned-EDA_Grid0_1_5_Dirs_1.txt,1143-5,"Any[1,1,1,1,1,4]",walk forward five times,Move
Cleaned-EDA_Grid0_1_5_Dirs_1.txt,1143-6,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_1_5_Dirs_1.txt,1143-7,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_1_6_Dirs_1.txt,671-1,"Any[2,4]",turn to face the long red hallway,TurnToX
Cleaned-EDA_Grid0_1_6_Dirs_1.txt,671-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_1_6_Dirs_1.txt,671-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_1_6_Dirs_1.txt,671-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_1_7_Dirs_1.txt,1467-1,"Any[2,4]",turn to face the long red hallway,TurnToX
Cleaned-EDA_Grid0_1_7_Dirs_1.txt,1467-2,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Grid0_2_1_Dirs_1.txt,771-1,"Any[2,4]",turn to face the yellow hallway,TurnToX
Cleaned-EDA_Grid0_2_1_Dirs_1.txt,771-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_2_1_Dirs_1.txt,771-3,"Any[3,4]",turn onto the pink hallway,TurnToX
Cleaned-EDA_Grid0_2_1_Dirs_1.txt,771-4,"Any[1,1,4]",walk forward once,Move
Cleaned-EDA_Grid0_2_3_Dirs_1.txt,721-1,"Any[2,4]",turn so the wall is on your left,Orient
Cleaned-EDA_Grid0_2_3_Dirs_1.txt,721-2,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Grid0_2_3_Dirs_1.txt,721-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_2_3_Dirs_1.txt,721-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_2_4_Dirs_1.txt,1278-1,"Any[2,4]",turn so that the wall is on your back,Orient
Cleaned-EDA_Grid0_2_4_Dirs_1.txt,1278-2,"Any[1,1,1,4]",walk forward three times or until you reach the corner of yellow and green,Conditional
Cleaned-EDA_Grid0_2_5_Dirs_1.txt,1475-1,"Any[2,4]",turn so the wall is on your left,Orient
Cleaned-EDA_Grid0_2_5_Dirs_1.txt,1475-2,"Any[1,1,1,4]",walk forward twice or until you reach the blue hallway,Conditional
Cleaned-EDA_Grid0_2_5_Dirs_1.txt,1475-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_2_5_Dirs_1.txt,1475-4,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Grid0_2_5_Dirs_1.txt,1475-5,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_2_5_Dirs_1.txt,1475-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_2_6_Dirs_1.txt,875-1,"Any[2,4]",turn to face the yellow hallway,TurnToX
Cleaned-EDA_Grid0_2_6_Dirs_1.txt,875-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_2_6_Dirs_1.txt,875-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_2_6_Dirs_1.txt,875-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_2_7_Dirs_1.txt,812-1,"Any[2,4]",turn so the wall is on your left,Orient
Cleaned-EDA_Grid0_2_7_Dirs_1.txt,812-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_2_7_Dirs_1.txt,812-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_2_7_Dirs_1.txt,812-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_3_1_Dirs_1.txt,1516-1,"Any[2,4]",turn so the wall is on your left,Orient
